Date,Open,High,Low,Close,Volume
07-01-2000,0.936380029,1.004459977,0.848209977,0.888390005,3054589888
14-01-2000,0.910709977,0.912949979,0.772319973,0.896759987,3345689424
21-01-2000,0.901780009,1.084820032,0.896759987,0.993860006,3383881648
28-01-2000,0.968190014,1.019530058,0.898440003,0.907369971,2068854592
04-02-2000,0.901780009,0.982140005,0.84375,0.964280009,2384426128
11-02-2000,0.964280009,1.045760036,0.945869982,0.970979989,1664310032
18-02-2000,0.976000011,1.070870042,0.969869971,0.993300021,1754470368
25-02-2000,0.983259976,1.063619971,0.952570021,0.985490024,1520972544
03-03-2000,0.983259976,1.179129958,0.967630029,1.142860055,2408920416
10-03-2000,1.125,1.152899981,1.055799961,1.122769952,1280127408
17-03-2000,1.090399981,1.129459977,1.017860055,1.116070032,1860097456
24-03-2000,1.102679968,1.342630029,1.085940003,1.238280058,2306294816
31-03-2000,1.228790045,1.292410016,1.119979978,1.212610006,1541076432
07-04-2000,1.209820032,1.245530009,1.042410016,1.176339984,1948644880
14-04-2000,1.175780058,1.185269952,0.936380029,0.998880029,2893063264
20-04-2000,0.977680027,1.162950039,0.973770022,1.061380029,2042792192
28-04-2000,1.026780009,1.149549961,1.024549961,1.10769999,1778359856
05-05-2000,1.114949942,1.127230048,0.987160027,1.010040045,1636019056
12-05-2000,1.000839949,1.015069962,0.881699979,0.960940003,1853791856
19-05-2000,0.964839995,0.973770022,0.833700001,0.839280009,2631923952
26-05-2000,0.837050021,0.837050021,0.741069973,0.771200001,2539568640
02-06-2000,0.782369971,0.890619993,0.717630029,0.82644999,2843257088
09-06-2000,0.833150029,0.879459977,0.800779998,0.854910016,1677055856
16-06-2000,0.860490024,0.86105001,0.787389994,0.814170003,1471378832
23-06-2000,0.808589995,1.029019952,0.801900029,0.922989011,2058091448
30-06-2000,0.9375,0.991069973,0.911830008,0.935270011,1202013064
07-07-2000,0.930800021,0.985489011,0.886161029,0.972100019,909138384
14-07-2000,0.965960979,1.082589984,0.959819973,1.030130029,1617063112
21-07-2000,1.040179968,1.051339984,0.924111009,0.956470013,1698089568
28-07-2000,0.938619971,0.950888991,0.837050021,0.862720013,1367190832
04-08-2000,0.877789021,0.921869993,0.790180027,0.845979989,1057958496
11-08-2000,0.854911029,0.876119971,0.813619971,0.85156101,1233434720
18-08-2000,0.84988898,0.936380029,0.827010989,0.892861009,875611128
25-08-2000,0.897319973,1.026780009,0.886161029,1.014510036,1293360320
01-09-2000,1.022320032,1.136160016,1.018970013,1.132809997,1587898256
08-09-2000,1.118860006,1.145089984,1.03125,1.051339984,1067030552
15-09-2000,1.047989964,1.078119993,0.96875,0.986329973,1502431000
22-09-2000,0.986611009,1.097100019,0.892861009,0.931919992,2161193216
29-09-2000,0.94196099,0.991069973,0.453119993,0.459820002,9534737408
06-10-2000,0.47656101,0.477679998,0.375,0.396200001,7415056880
13-10-2000,0.404020011,0.408479989,0.341520011,0.393970013,4926039216
20-10-2000,0.39843899,0.415179998,0.327010989,0.34821099,4554153968
27-10-2000,0.357138991,0.372770011,0.3125,0.331470013,3486076104
03-11-2000,0.341520011,0.41071099,0.334820002,0.397320002,3206955080
10-11-2000,0.400669992,0.404020011,0.34040001,0.34040001,2016729904
17-11-2000,0.334820002,0.366070002,0.325888991,0.330361009,1808728880
24-11-2000,0.332029998,0.34821099,0.325888991,0.344870001,1151484264
01-12-2000,0.354911,0.356029987,0.287950009,0.30468899,2215418016
08-12-2000,0.306919992,0.311379999,0.25,0.268970013,3204524624
15-12-2000,0.271210998,0.28571099,0.25,0.251120001,1840923280
22-12-2000,0.260039002,0.272320002,0.243300006,0.267861009,1950140192
29-12-2000,0.265619993,0.267861009,0.25334999,0.265619993,1478563744
05-01-2001,0.265619993,0.330361009,0.25781101,0.292411,2421151152
12-01-2001,0.302460998,0.330361009,0.28459999,0.306919992,2770625032
19-01-2001,0.311379999,0.349330008,0.294638991,0.34821099,3151235024
26-01-2001,0.34040001,0.373879999,0.329239011,0.349330008,3088520512
02-02-2001,0.349330008,0.40178901,0.349330008,0.368299991,3077113368
09-02-2001,0.366070002,0.38281101,0.333710998,0.341520011,2377023040
16-02-2001,0.34040001,0.36718899,0.330361009,0.33928901,1395767632
23-02-2001,0.342629999,0.356029987,0.321429998,0.33593899,1431098088
02-03-2001,0.34040001,0.364950001,0.306919992,0.34375,1799897680
09-03-2001,0.345979989,0.393970013,0.341520011,0.361611009,1979512248
16-03-2001,0.35156101,0.381700009,0.323661,0.350450009,2311844528
23-03-2001,0.352679998,0.420760989,0.345979989,0.41071099,2895415488
30-03-2001,0.413038999,0.424111009,0.377319992,0.394111007,2877937944
06-04-2001,0.394461006,0.404639006,0.334820002,0.367680013,2167000416
